CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37067,"Forsyth, NC",180,"  Earnings by place of work",16434279
37067,"Forsyth, NC",190,"    Wages and salaries",12418444
37067,"Forsyth, NC",240,Total employment (number of jobs),252167
37069,"Franklin, NC",,Place of residence profile,
37069,"Franklin, NC",10,Personal income (thousands of dollars),3226343
37069,"Franklin, NC",100,"  Population (persons) 3/",71703
37069,"Franklin, NC",,Place of work profile (thousands of dollars),
37069,"Franklin, NC",180,"  Earnings by place of work",1019050
37069,"Franklin, NC",190,"    Wages and salaries",693747
37069,"Franklin, NC",240,Total employment (number of jobs),22501
37071,"Gaston, NC",,Place of residence profile,
37071,"Gaston, NC",10,Personal income (thousands of dollars),11198308
37071,"Gaston, NC",100,"  Population (persons) 3/",230856
37071,"Gaston, NC",,Place of work profile (thousands of dollars),
37071,"Gaston, NC",180,"  Earnings by place of work",5239918
37071,"Gaston, NC",190,"    Wages and salaries",3856835
37071,"Gaston, NC",240,Total employment (number of jobs),104630
37073,"Gates, NC",,Place of residence profile,
37073,"Gates, NC",10,Personal income (thousands of dollars),519332
37073,"Gates, NC",100,"  Population (persons) 3/",10366
37073,"Gates, NC",,Place of work profile (thousands of dollars),
37073,"Gates, NC",180,"  Earnings by place of work",131739
37073,"Gates, NC",190,"    Wages and salaries",76667
37073,"Gates, NC",240,Total employment (number of jobs),2977
37075,"Graham, NC",,Place of residence profile,
37075,"Graham, NC",10,Personal income (thousands of dollars),347281
37075,"Graham, NC",100,"  Population (persons) 3/",8043
37075,"Graham, NC",,Place of work profile (thousands of dollars),
37075,"Graham, NC",180,"  Earnings by place of work",141193
37075,"Graham, NC",190,"    Wages and salaries",94231
37075,"Graham, NC",240,Total employment (number of jobs),3247
37077,"Granville, NC",,Place of residence profile,
37077,"Granville, NC",10,Personal income (thousands of dollars),2882582
37077,"Granville, NC",100,"  Population (persons) 3/",61986
37077,"Granville, NC",,Place of work profile (thousands of dollars),
37077,"Granville, NC",180,"  Earnings by place of work",1561170
37077,"Granville, NC",190,"    Wages and salaries",1111309
37077,"Granville, NC",240,Total employment (number of jobs),27939
37079,"Greene, NC",,Place of residence profile,
37079,"Greene, NC",10,Personal income (thousands of dollars),807781
37079,"Greene, NC",100,"  Population (persons) 3/",20417
37079,"Greene, NC",,Place of work profile (thousands of dollars),
37079,"Greene, NC",180,"  Earnings by place of work",317141
37079,"Greene, NC",190,"    Wages and salaries",206204
37079,"Greene, NC",240,Total employment (number of jobs),6919
37081,"Guilford, NC",,Place of residence profile,
37081,"Guilford, NC",10,Personal income (thousands of dollars),29643170
37081,"Guilford, NC",100,"  Population (persons) 3/",542410
37081,"Guilford, NC",,Place of work profile (thousands of dollars),
37081,"Guilford, NC",180,"  Earnings by place of work",23309138
37081,"Guilford, NC",190,"    Wages and salaries",17572389
37081,"Guilford, NC",240,Total employment (number of jobs),382877
37083,"Halifax, NC",,Place of residence profile,
37083,"Halifax, NC",10,Personal income (thousands of dollars),2169706
37083,"Halifax, NC",100,"  Population (persons) 3/",48272
37083,"Halifax, NC",,Place of work profile (thousands of dollars),
37083,"Halifax, NC",180,"  Earnings by place of work",906112
37083,"Halifax, NC",190,"    Wages and salaries",654632
37083,"Halifax, NC",240,Total employment (number of jobs),19974
37085,"Harnett, NC",,Place of residence profile,
37085,"Harnett, NC",10,Personal income (thousands of dollars),5912302
37085,"Harnett, NC",100,"  Population (persons) 3/",135966
37085,"Harnett, NC",,Place of work profile (thousands of dollars),
37085,"Harnett, NC",180,"  Earnings by place of work",1859123
37085,"Harnett, NC",190,"    Wages and salaries",1230509
37085,"Harnett, NC",240,Total employment (number of jobs),43358
37087,"Haywood, NC",,Place of residence profile,
37087,"Haywood, NC",10,Personal income (thousands of dollars),3101217
37087,"Haywood, NC",100,"  Population (persons) 3/",62476
37087,"Haywood, NC",,Place of work profile (thousands of dollars),
37087,"Haywood, NC",180,"  Earnings by place of work",1229939
37087,"Haywood, NC",190,"    Wages and salaries",827611
37087,"Haywood, NC",240,Total employment (number of jobs),27346
37089,"Henderson, NC",,Place of residence profile,
37089,"Henderson, NC",10,Personal income (thousands of dollars),6149222
37089,"Henderson, NC",100,"  Population (persons) 3/",116829
37089,"Henderson, NC",,Place of work profile (thousands of dollars),
37089,"Henderson, NC",180,"  Earnings by place of work",2955400
37089,"Henderson, NC",190,"    Wages and salaries",2079546
37089,"Henderson, NC",240,Total employment (number of jobs),58112
37091,"Hertford, NC",,Place of residence profile,
37091,"Hertford, NC",10,Personal income (thousands of dollars),893100
